inst_id,year,n_citations
I4210130929,2006,71
I4210130929,2007,61
I4210130929,2008,14
I4210130929,2009,54
I4210130929,2010,82
I4210130929,2011,67
I4210130929,2012,114
I4210130929,2013,206
I4210130929,2014,540
I4210130929,2015,818
I4210130929,2016,352
I4210130929,2017,553
I4210130929,2018,751
I4210130929,2019,967
I4210130929,2020,1013
I4210130929,2021,1092
I4210130929,2022,1111
I4210130929,2023,1428
I4210130929,2024,1720
I4210130929,2025,728
I4210130929,2026,27
I240042149,2006,1825
I240042149,2007,9571
I240042149,2008,1910
I240042149,2009,2174
I240042149,2010,3059
I240042149,2011,2881
I240042149,2012,2264
I240042149,2013,2349
I240042149,2014,2522
I240042149,2015,3875
I240042149,2016,5037
I240042149,2017,5973
I240042149,2018,7323
I240042149,2019,8076
I240042149,2020,11858
I240042149,2021,12181
I240042149,2022,11245
I240042149,2023,11346
I240042149,2024,8471
I240042149,2025,3048
I240042149,2026,76
I100352790,2006,475
I100352790,2007,1667
I100352790,2008,1297
I100352790,2009,362
I100352790,2010,836
I100352790,2011,736
I100352790,2012,911
I100352790,2013,810
I100352790,2014,899
I100352790,2015,976
I100352790,2016,1160
I100352790,2017,929
I100352790,2018,1119
I100352790,2019,1934
I100352790,2020,1929
I100352790,2021,1942
I100352790,2022,2642
I100352790,2023,1704
I100352790,2024,1001
I100352790,2025,309
I100352790,2026,4
I4210161785,2006,325
I4210161785,2007,1352
I4210161785,2008,348
I4210161785,2009,826
I4210161785,2010,395
I4210161785,2011,117
I4210161785,2012,112
I4210161785,2013,55
I4210161785,2014,289
I4210161785,2015,192
I4210161785,2016,1348
I4210161785,2017,155
I4210161785,2018,274
I4210161785,2019,912
I4210161785,2020,1866
I4210161785,2021,969
I4210161785,2022,1042
I4210161785,2023,1758
I4210161785,2024,1815
I4210161785,2025,1791
I4210161785,2026,11
I4210130625,2008,14
I4210130625,2009,1
I4210130625,2011,0
I4210130625,2012,29
I4210130625,2015,8
I4210130625,2016,0
I4210130625,2020,0
I4210130625,2021,1
I4210130625,2022,10
I4210130625,2025,7
I4210130625,2026,1
I4210140896,2006,3
I4210140896,2007,7
I4210140896,2008,163
I4210140896,2009,65
I4210140896,2010,42
I4210140896,2011,70
I4210140896,2012,60
I4210140896,2013,222
I4210140896,2014,49
I4210140896,2015,106
I4210140896,2016,97
I4210140896,2017,50
I4210140896,2018,228
I4210140896,2019,70
I4210140896,2020,50
I4210140896,2021,345
I4210140896,2022,173
I4210140896,2023,110
I4210140896,2024,114
I4210140896,2025,66
I4210140896,2026,1
I169864488,2006,312
I169864488,2007,297
I169864488,2008,400
I169864488,2009,526
I169864488,2010,977
I169864488,2011,796
I169864488,2012,601
I169864488,2013,938
I169864488,2014,1020
I169864488,2015,1652
I169864488,2016,1733
I169864488,2017,2223
I169864488,2018,2209
I169864488,2019,2967
I169864488,2020,4330
I169864488,2021,5728
I169864488,2022,3612
I169864488,2023,3268
I169864488,2024,1577
I169864488,2025,602
I169864488,2026,18
I4210134055,2016,0
I4210134055,2017,6
I4210134055,2018,6
I4210134055,2019,131
I4210134055,2020,75
I4210134055,2021,76
I4210134055,2022,114
I4210134055,2023,153
I4210134055,2024,115
I4210134055,2025,42
I4210134055,2026,0
I1328943360,2006,201
I1328943360,2007,212
I1328943360,2008,886
I1328943360,2009,867
I1328943360,2010,1422
I1328943360,2011,1276
I1328943360,2012,28541
I1328943360,2013,16442
I1328943360,2014,8137
I1328943360,2015,3147
I1328943360,2016,2817
I1328943360,2017,4197
I1328943360,2018,2173
I1328943360,2019,2273
I1328943360,2020,1716
I1328943360,2021,994
I1328943360,2022,572
I1328943360,2023,470
I1328943360,2024,242
I1328943360,2025,43
I1328943360,2026,1
I4210131124,2006,103
I4210131124,2007,6
I4210131124,2008,38
I4210131124,2009,1413
I4210131124,2010,121
I4210131124,2011,94
I4210131124,2012,22
I4210131124,2013,320
I4210131124,2014,36
I4210131124,2015,58
I4210131124,2016,62
I4210131124,2017,2
I4210131124,2018,3
I4210131124,2019,22
I4210131124,2020,146
I4210131124,2021,0
I4210131124,2022,74
I4210131124,2023,89
I4210131124,2024,17
I4210131124,2025,2
I4210131124,2026,1
I1322597698,2006,4889
I1322597698,2007,7295
I1322597698,2008,13057
I1322597698,2009,9204
I1322597698,2010,13809
I1322597698,2011,16403
I1322597698,2012,21597
I1322597698,2013,27249
I1322597698,2014,29592
I1322597698,2015,22359
I1322597698,2016,22099
I1322597698,2017,27200
